,,,,,,,,,starting_inventory,carry_cost,safety_stock_pct
,,,,,,,,,300,1.34,0.1
,1,2,3,4,,,,,,,
Beginning Inventory,300,338,251,213,,,,,,,
Units Produced        ,519,518,608,450,,,,,,,
Units Demanded     ,481,605,646,603,,,,,,,
Ending Inventory    ,338,251,213,60,,,,,,,
,,,,,,,,,,,
Maximum Production,519,518,608,483,,,,,,,
,,,,,,,,,,,
Minimum Inventory,48.1,60.5,64.6,60.3,,,,,,,
,,,,,,,,,,,
Average Inventory,319,295,232,137,,,,,,,
,,,,,,,,,,,
Unit Production Cost,$51.23,$51.66,$51.32,$55.75,,,,,,,
Unit Carrying Cost    ,$1.34,$1.34,$1.34,$1.34,,,,,,,
,,,,,,,,,,,
Monthly Production Cost,"$26,588","$26,760","$31,203","$25,104",,,,,,,
Monthly Carrying Cost,$427,$395,$311,$183,,,,,,,
,,,Total Cost,"$110,971",,,,,,,
,,,,,,,,,,,
